film_id,title,replacement_cost,rent_time
506,Lady Stage,14.99,75 days 266:04:00
79,Blade Polish,10.99,76 days 231:47:00
424,Holocaust Highball,12.99,76 days 226:57:00
373,Graduate Lord,14.99,75 days 246:28:00
981,Wolves Desire,13.99,74 days 253:45:00
796,Sierra Divide,12.99,76 days 198:47:00
281,Encino Elf,9.99,76 days 188:28:00
380,Greek Everyone,11.99,75 days 195:10:00
746,Rouge Squad,10.99,74 days 212:09:00
747,Roxanne Rebel,9.99,74 days 199:58:00
809,Slipper Fidelity,14.99,72 days 215:52:00
392,Hall Cassidy,13.99,73 days 166:43:00
133,Chamber Italian,14.99,74 days 139:14:00
634,Odds Boogie,14.99,73 days 161:46:00
160,Club Graffiti,12.99,70 days 224:18:00
562,Masked Bubble,12.99,69 days 235:19:00
867,Super Wyoming,10.99,72 days 160:05:00
689,Pollock Deliverance,14.99,70 days 206:01:00
793,Shrunk Divine,14.99,70 days 204:01:00
346,Galaxy Sweethearts,13.99,70 days 187:19:00
421,Holiday Games,10.99,70 days 163:55:00
963,Watch Tracy,12.99,70 days 158:18:00
987,Words Hunter,13.99,72 days 104:49:00
258,Drums Dynamite,11.99,71 days 126:25:00
152,Circus Youth,13.99,70 days 149:18:00
768,Scarface Bang,11.99,66 days 218:05:00
829,Spinal Rocky,12.99,69 days 128:59:00
577,Mile Mulan,10.99,68 days 147:09:00
272,Edge Kissing,9.99,66 days 194:57:00
812,Smoking Barbarella,13.99,65 days 213:09:00
798,Silverado Goldfinger,11.99,68 days 138:47:00
597,Moonwalker Fool,12.99,66 days 180:37:00
529,Lonely Elephant,12.99,65 days 184:43:00
568,Memento Zoolander,11.99,64 days 162:41:00
308,Ferris Mother,13.99,60 days 251:00:00
756,Saddle Antitrust,10.99,67 days 71:55:00
229,Devil Desire,12.99,62 days 187:20:00
203,Daisy Menagerie,9.99,62 days 181:13:00
907,Translation Summer,10.99,60 days 222:34:00
84,Boiled Dares,13.99,64 days 125:37:00
260,Dude Blindness,9.99,61 days 191:03:00
179,Conquerer Nuts,14.99,59 days 237:21:00
98,Bright Encounters,12.99,62 days 164:14:00
931,Valentine Vanishing,9.99,64 days 110:22:00
455,Impossible Prejudice,11.99,63 days 132:36:00
478,Jaws Harry,10.99,63 days 130:39:00
464,Intentions Empire,13.99,60 days 190:05:00
660,Party Knock,11.99,62 days 140:14:00
820,Sons Interview,11.99,61 days 163:34:00
686,Pluto Oleander,9.99,60 days 184:55:00
254,Driver Annie,11.99,57 days 240:21:00
576,Mighty Luck,13.99,60 days 167:37:00
389,Gunfighter Mussolini,9.99,59 days 183:27:00
842,State Wasteland,13.99,61 days 126:31:00
526,Lock Rear,10.99,59 days 174:17:00
652,Pajama Jawbreaker,14.99,57 days 208:18:00
636,Oleander Clue,12.99,60 days 130:49:00
540,Lucky Flying,10.99,63 days 55:11:00
449,Identity Lover,12.99,60 days 118:52:00
980,Wizard Coldblooded,12.99,55 days 223:00:00
351,Gaslight Crusade,10.99,56 days 193:15:00
588,Model Fish,11.99,57 days 162:47:00
912,Trojan Tomorrow,9.99,57 days 160:56:00
896,Tootsie Pilot,10.99,56 days 180:22:00
27,Anonymous Human,12.99,58 days 121:59:00
306,Feathers Metal,12.99,57 days 140:43:00
604,Mulan Moon,10.99,57 days 139:45:00
291,Evolution Alter,10.99,57 days 132:44:00
299,Factory Dragon,9.99,54 days 204:20:00
564,Massage Image,11.99,57 days 124:21:00
916,Turn Star,10.99,52 days 241:24:00
75,Bird Independence,14.99,56 days 127:18:00
937,Varsity Trip,14.99,52 days 211:13:00
315,Finding Anaconda,10.99,55 days 135:49:00
633,October Submarine,10.99,56 days 111:14:00
888,Thin Sagebrush,9.99,56 days 110:34:00
662,Paths Control,9.99,54 days 153:40:00
357,Gilbert Pelican,13.99,55 days 117:42:00
828,Spiking Element,12.99,52 days 173:16:00
740,Rollercoaster Bringing,13.99,54 days 123:58:00
933,Vampire Whale,11.99,53 days 128:23:00
210,Darko Dorado,13.99,53 days 120:27:00
257,Drumline Cyclone,14.99,49 days 209:24:00
905,Trainspotting Strangers,10.99,54 days 88:34:00
886,Theory Mermaid,9.99,51 days 145:01:00
46,Autumn Crow,13.99,50 days 168:57:00
82,Blood Argonauts,13.99,52 days 113:29:00
240,Dolls Rage,10.99,54 days 60:16:00
461,Insects Stone,14.99,46 days 247:40:00
187,Cranes Reservoir,12.99,53 days 70:45:00
337,Frida Slipper,11.99,50 days 122:19:00
639,Opposite Necklace,9.99,49 days 145:55:00
881,Temple Attraction,13.99,48 days 156:09:00
553,Maker Gables,12.99,46 days 176:30:00
770,Scissorhands Slums,13.99,44 days 196:26:00
593,Monterey Labyrinth,13.99,45 days 171:19:00
705,Purple Movie,9.99,47 days 119:31:00
847,Stock Glass,10.99,44 days 171:24:00
214,Daughter Madigan,13.99,47 days 97:55:00
283,Ending Crowds,10.99,47 days 95:14:00
522,Life Twisted,9.99,47 days 80:27:00
492,Jungle Closer,11.99,45 days 118:19:00
853,Stranger Strangers,12.99,44 days 102:59:00
998,Zhivago Core,10.99,42 days 134:25:00
279,Elizabeth Shane,11.99,41 days 152:24:00
29,Antitrust Tomatoes,11.99,44 days 68:55:00
692,Potluck Mixed,10.99,41 days 122:25:00
978,Wisdom Worker,12.99,41 days 105:19:00
632,Nuts Ties,10.99,41 days 101:15:00
379,Greedy Roots,14.99,36 days 217:52:00
482,Jeopardy Encino,12.99,40 days 117:28:00
926,Untouchables Sunrise,11.99,41 days 79:01:00
899,Towers Hurricane,14.99,38 days 147:50:00
627,North Tequila,9.99,39 days 115:48:00
923,Unfaithful Kill,12.99,40 days 79:42:00
656,Papi Necklace,9.99,41 days 42:55:00
787,Shining Roses,12.99,39 days 76:00:00
674,Pet Haunting,11.99,36 days 120:29:00
659,Park Citizen,14.99,36 days 117:18:00
700,Prix Undefeated,13.99,35 days 129:15:00
264,Dwarfs Alter,13.99,37 days 77:30:00
719,Records Zorro,11.99,35 days 113:17:00
431,Hoosiers Birdcage,12.99,35 days 95:43:00
498,Killer Innocent,11.99,36 days 71:02:00
340,Frontier Cabin,14.99,35 days 77:19:00
758,Saints Bride,11.99,33 days 110:04:00
515,Legally Secretary,14.99,33 days 102:16:00
411,Heavenly Gun,13.99,32 days 120:40:00
884,Terminator Club,11.99,35 days 48:16:00
182,Control Anthem,9.99,33 days 92:26:00
364,Godfather Diary,14.99,31 days 133:22:00
106,Bulworth Commandments,14.99,35 days 36:19:00
876,Tarzan Videotape,11.99,33 days 81:43:00
990,World Leathernecks,13.99,32 days 89:44:00
407,Hawk Chill,12.99,32 days 76:17:00
815,Snatchers Montezuma,14.99,30 days 112:31:00
565,Matrix Snowman,9.99,32 days 53:36:00
507,Ladybugs Armageddon,13.99,30 days 93:09:00
2,Ace Goldfinger,12.99,32 days 44:33:00
490,Jumanji Blade,13.99,28 days 137:39:00
822,Soup Wisdom,12.99,29 days 107:24:00
997,Youth Kick,14.99,28 days 129:04:00
996,Young Language,9.99,28 days 104:54:00
808,Sling Luke,10.99,28 days 94:05:00
684,Pizza Jumanji,11.99,30 days 39:40:00
695,President Bang,12.99,28 days 68:20:00
685,Platoon Instinct,10.99,26 days 113:01:00
605,Mulholland Beast,13.99,27 days 50:56:00
107,Bunch Minds,13.99,27 days 14:56:00
32,Apocalypse Flamingos,11.99,22 days 83:17:00
959,Warlock Werewolf,10.99,23 days 57:31:00
836,Squad Fish,14.99,22 days 52:34:00
401,Harold French,10.99,21 days 75:32:00
185,Cowboy Doom,10.99,19 days 110:28:00
405,Haunted Antitrust,13.99,20 days 42:56:00
612,Mussolini Spoilers,10.99,18 days 52:38:00
94,Braveheart Human,14.99,17 days 74:23:00
343,Full Flatliners,14.99,17 days 44:05:00
362,Glory Tracy,13.99,17 days 33:25:00
903,Traffic Hobbit,13.99,14 days 72:11:00
261,Duffel Apocalypse,13.99,11 days 59:36:00
